1,1
2,2
3,品格と美を愛し、周囲の人を美しく成長させます。美容やデザイン関連の仕事が天職。礼儀や道理を重んじるため非常識な人は遠ざけますが、母親のように人を育成する厳しさと優しさを併せ持ちます。
4,責任感と無邪気さを併せ持つ、生まれながらの王様タイプ。若くして社会を知りつつも童心を忘れず、他人に操作されることを嫌います。厳しい下積み経験を経て、最終的には個人事業などで必ず経営者として君臨します。
5,言葉の力で誰とでも分け隔てなく対話し、問題を解決に導く心のケアの達人です。知識やノウハウを落ち着いて伝える仕事に向き、趣味を活かした複業も得意。恋愛では外見や財産より、特化した知性を持つ人を好みます。
6,豊かな人脈と深い慈愛で、仲間の成功を祈りながら人と人を繋ぐ天才です。多種多様なメンバーでチームを組み、穏やかな場を作る監督やコーディネーターとして対人の仕事で輝く、無償の愛を持ったリーダーです。
7,若くから自立心に溢れ、一度決めた道は曲げずに一直線に進むたくましさを持っています。仕事が早く多才な反面、不正や怠慢を許さず、転職を重ねてキャリアを築く職人気質。気高く正直で、面倒見の良い人です。
8,冷静な直感と強い正義感を持ち、物事のバランスを保つことに長けた人です。人事や財務など組織の心臓部で「人と資本」を動かす役割に適しています。周囲の意見を尊重し、嘘を見抜いて人間関係や組織を支える、頼れる縁の下の力持ちです。
9,周囲と上手く馴染みつつも、内面には一部の仲間とだけ共有する独自の世界を持っています。他人の夢や未来を裏方としてサポートする能力に長け、一人で没頭できる独創的な仕事で才能を発揮する未来の演出家です。
10,どんな価値観や環境にも馴染める、多彩な顔を持つ柔軟性が特徴です。一つの場所にとどまらず、日々異なるジャンルの人々と関わることで輝きます。自らがブランドとなり、エンタメ業界などでマルチに活躍する生粋の表現者です。
11,幼少期は周囲に気を配るものの、成長すると群れを嫌い、自由に生きる孤高の旅人タイプです。世界中どこでも通用する「一つの技」を身につけ、単独でどんな環境や国でも活躍できるカリスマ性を持っています。
12,義理人情と誠の精神を貫き、自ら決めた過酷な道を時間をかけてやり遂げる不屈の強さを持ちます。上下関係を重んじる一方、権力に媚びず間違った上層部には物申す正義感も備えています。男女問わず憧れられる真っ直ぐな兄貴肌です。
13,美学と哲学に長けた、柔らかなリーダーです。正義感と遊び心を持ち、仕事もスピーディー。世界を飛び回り、多様な文化に触れながら人と人を繋ぐ架け橋となり、無限の人脈で人々を豊かにサポートする存在です。
14,教養と集中力を持ち、時代を先取るトレンドリーダーです。柔軟な発想で少ない予算でも想像を超える成果を出し、逆境を追い風に変える力があります。親切で人望が厚く、多様な分野で頼られる明るい開拓者です。
15,権力や財力を持つ格上の人々との広い人脈を持ち、白と黒、光と影が交差する壮大な映画のような人生を歩むカリスマです。天使と悪魔の本質を見抜く鋭い洞察力で、道を外れそうな人を導き世の中を進化させます。
16,「破壊と再生」を司る龍神のような存在。急激な環境の変化や別れを経験しやすいですが、それは人生をより良い方向へ修正するためのプロセス。古いものを浄化・刷新し、世の中を劇的に変えて人を救う革新者です。
17,真面目で控えめなベースを持ちつつ、環境の激変と異文化交流を経て道徳心を育むカリスマです。壮大なビジョンと集中力で、夢を忘れた人々を導き輝く未来を提示する、優しさと豪快さを併せ持つ真のヒーローです。
18,相手を尊重し静かに見守る、月のような存在です。直感力や優れた感性を持ち、見えない繋がりや加護で人生が自然と好転します。人の内面を助ける仕事や、個人の仕事が適職です。
19,太陽のように元気で、周囲を照らし仲間を繁栄へ導く先導者です。多彩性を持ち、人々に希望を与え迷う者の道標となります。多くの人に愛されるカリスマ的な存在で、自身が目立って指標となる仕事が天職です。
20,誰かの人生を助け、成就へと導く心優しく丁寧なサポーターです。既存のルールに縛られず、他者の裏切りさえ許す寛大さで人々をまとめるメンターとして活躍します。特定の分野で世界一になる才能も秘めています。
21,相手の本質を見抜き、誰かの夢を徹底的にバックアップする「黒子」のようなサポーターです。波乱万丈な経験を活かして人を導き、やがて自身も脚光を浴びます。無限の顔を持ち、どんな場面でも重宝される人気者です。
